Day_of_Week,Light_Conditions,Sex_Of_Driver,Vehicle_Type,Speed_limit,Pedestrian_Crossing,Road_Type,Special_Conditions_at_Site,Number_of_Pasengers,Weather,Road_Surface,Driver_Age_Group,Vehicle_Age,Traffic_Density,Risk_Score,Is_Weekend,Night_Drive,Accident_Severity,Driver_Age,Driver_Experience,Seat_Belt,Alcohol_Level,Tyre_Condition,Braking_Distance,Vehicle_Load,Visibility,Time_Of_Day,Weather_Risk,Surface_Risk,Driver_Risk,Traffic_Risk,Total_Risk_Score,Speed_to_Risk,Visibility_to_Speed,Driver_Age_to_Exp,Final_Output
2,0,1,0,20,0,3,1,2,rainy,dry,1,2,5,6.6666665,1,0,0,39,20,1,0,1,40.24453146,1.038693434,100,afternoon,3,1,0,2.5,6.5,2.67,4.76,0.5,Minor
0,0,0,1,30,1,4,0,6,clear,dry,2,4,4,15,0,0,0,33,15,1,0,1,61.24142422,0.89466838,79.31776101,evening,1,1,0,2,4,6,2.56,0.44,Minor
5,1,1,0,40,0,4,0,3,rainy,wet,0,9,8,14.545455,0,0,1,41,17,1,0,1,63.46513966,0.623815739,89.58695458,morning,3,2,0,4,9,4,2.19,0.4,Major
5,0,1,0,20,1,5,0,6,clear,wet,2,5,2,10.769231,0,0,1,50,28,1,0,1,38.52083948,0.833448988,81.61623587,afternoon,1,2,0,1,4,4,3.89,0.55,Minor
1,1,0,0,30,0,2,1,5,rainy,wet,0,2,5,12.857142,1,0,0,32,13,0,0,1,50.37970287,1.340173921,55.94323321,evening,3,2,3,2.5,10.5,2.61,1.8,0.39,Major
3,0,0,1,30,1,5,0,6,clear,dry,2,4,9,17.5,0,0,1,32,8,0,1,1,48.48321655,1.311397937,74.23965076,night,1,1,7,4.5,13.5,2.07,2.39,0.24,Major
1,0,1,1,40,0,4,1,2,stormy,dry,1,7,9,13.333333,0,0,1,50,27,1,1,1,51.02656759,0.528368592,63.31871137,afternoon,5,1,4,4.5,14.5,2.58,1.54,0.53,Major
6,1,1,1,20,0,1,1,2,rainy,dry,2,5,3,4.6153846,0,0,0,42,24,1,0,0,33.40912042,0.640276558,71.29902101,evening,3,1,2,1.5,7.5,2.35,3.4,0.56,Major
2,0,0,0,40,0,3,0,2,rainy,dry,0,11,4,40,0,0,0,30,8,1,0,1,62.14164638,1.255901217,62.24702941,morning,3,1,0,2,6,5.71,1.52,0.26,Minor
4,1,0,0,40,0,5,0,5,clear,dry,0,8,1,30,0,0,0,40,19,1,0,1,53.47827672,0.835732896,89.63968455,morning,1,1,0,0.5,2.5,11.43,2.19,0.46,Minor
